Qmin	Rr
1947.650201	0.121361361
1959.475859	0.121416416
1946.578687	0.121471471
1946.578687	0.121526527
1946.578687	0.121581582
1933.766404	0.121636637
1933.766404	0.121691692
1933.766404	0.121746747
1921.038451	0.121801802
1932.702528	0.121856857
1932.702528	0.121911912
1919.981577	0.121966967
1919.981577	0.122022022
1919.981577	0.122077077
1919.981577	0.122132132
1907.344355	0.122187187
1907.344355	0.122242242
1894.79031	0.122297297
1894.79031	0.122352352
1894.79031	0.122407407
1894.79031	0.122462462
1882.318896	0.122517518
1882.318896	0.122572573
1882.318896	0.122627628
1882.318896	0.122682683
1882.318896	0.122737738
1869.929568	0.122792793
1869.929568	0.122847848
1869.929568	0.122902903
1869.929568	0.122957958
1857.621785	0.123013013
1857.621785	0.123068068
1857.621785	0.123123123
1857.621785	0.123178178
1857.621785	0.123233233
1856.599801	0.123288288
1856.599801	0.123343343
1845.395012	0.123398398
